"priority","agency_name","website","contact_path","specialty","pitch_angle","notes","subject_line","message_body"
"1","eSEOspace","https://eseospace.com","https://eseospace.com/contact","AI-first Shopify architecture, AI search optimization","Strongest fit: they sell AI search optim as a service. We give them a measurable input/output for that service.","Founder Aman Doshi often speaks at Shopify conferences; LinkedIn search likely productive.","AI shopping agents are reading eSEOspace clients' catalogs differently","Hi [first name to find on LinkedIn],

I'm Alexandre, founder of AI Catalog Score (apps.shopify.com/ai-catalog-score). It's a Shopify app that scores how AI shopping agents (ChatGPT, Claude, Gemini, Perplexity, Mistral, DeepSeek) read product catalogs, and applies one-click fixes. The methodology is CC0 (github.com/commerce-agentic/agentic-catalog-scanner) and the underlying captures dataset is MIT-licensed at 1.2M+ rows.

Two reasons I'm reaching out specifically to eSEOspace:

1. your AI-First Architecture methodology for making Shopify stores discoverable by AI engines. The AI-readability angle is becoming a real channel for DTC merchants (ChatGPT shopping queries are growing fast), and your work suggests eSEOspace is well positioned to be early on it.

2. I'd like to discuss a partner program. We don't have one set up yet; I want to design it with 1-2 launch agencies who understand the merchant side. The shape I'm thinking is revenue share on referred installs, or a flat referral fee per closed Pro/Performance plan ($149 to $399 per month per merchant). Open to your preferred structure.

You can audit any Shopify store free in 60 seconds at:
https://aicatalogscore.com/audit

If this is interesting, a 15-minute call this week or next would be useful. If not, no worries; happy to ship you a recap of our methodology + dataset for your team's reference regardless.

Best,
Alexandre Poulain
alexandre@aicatalogscore.com
"
"2","Avenuez","https://avenuez.com","https://avenuez.com/contact","500+ Shopify builds, performance media + AI search optim","They explicitly added AI search optim recently. We are the tactical layer they need post-acquisition.","Recent acquisition (Feb 2026) means they are actively building the AI search practice.","AI shopping agents are reading Avenuez clients' catalogs differently","Hi [first name to find on LinkedIn],

I'm Alexandre, founder of AI Catalog Score (apps.shopify.com/ai-catalog-score). It's a Shopify app that scores how AI shopping agents (ChatGPT, Claude, Gemini, Perplexity, Mistral, DeepSeek) read product catalogs, and applies one-click fixes. The methodology is CC0 (github.com/commerce-agentic/agentic-catalog-scanner) and the underlying captures dataset is MIT-licensed at 1.2M+ rows.

Two reasons I'm reaching out specifically to Avenuez:

1. your acquisition of Varfaj and the move into AI search optimization for full-funnel DTC growth. The AI-readability angle is becoming a real channel for DTC merchants (ChatGPT shopping queries are growing fast), and your work suggests Avenuez is well positioned to be early on it.

2. I'd like to discuss a partner program. We don't have one set up yet; I want to design it with 1-2 launch agencies who understand the merchant side. The shape I'm thinking is revenue share on referred installs, or a flat referral fee per closed Pro/Performance plan ($149 to $399 per month per merchant). Open to your preferred structure.

You can audit any Shopify store free in 60 seconds at:
https://aicatalogscore.com/audit

If this is interesting, a 15-minute call this week or next would be useful. If not, no worries; happy to ship you a recap of our methodology + dataset for your team's reference regardless.

Best,
Alexandre Poulain
alexandre@aicatalogscore.com
"
"3","Eastside Co","https://eastsideco.com","https://eastsideco.com/contact","CRO and A/B testing, Shopify Plus","Our Pro plan's causal A/B with p-values is exactly what their CRO clients want. Joint sell.","UK-based, well-known in EU Shopify Plus circles. Strong content marketing presence.","AI shopping agents are reading Eastside clients' catalogs differently","Hi [first name to find on LinkedIn],

I'm Alexandre, founder of AI Catalog Score (apps.shopify.com/ai-catalog-score). It's a Shopify app that scores how AI shopping agents (ChatGPT, Claude, Gemini, Perplexity, Mistral, DeepSeek) read product catalogs, and applies one-click fixes. The methodology is CC0 (github.com/commerce-agentic/agentic-catalog-scanner) and the underlying captures dataset is MIT-licensed at 1.2M+ rows.

Two reasons I'm reaching out specifically to Eastside Co:

1. your conversion rate methodology and the work you have published on data-driven A/B testing for DTC clients. The AI-readability angle is becoming a real channel for DTC merchants (ChatGPT shopping queries are growing fast), and your work suggests Eastside is well positioned to be early on it.

2. I'd like to discuss a partner program. We don't have one set up yet; I want to design it with 1-2 launch agencies who understand the merchant side. The shape I'm thinking is revenue share on referred installs, or a flat referral fee per closed Pro/Performance plan ($149 to $399 per month per merchant). Open to your preferred structure.

You can audit any Shopify store free in 60 seconds at:
https://aicatalogscore.com/audit

If this is interesting, a 15-minute call this week or next would be useful. If not, no worries; happy to ship you a recap of our methodology + dataset for your team's reference regardless.

Best,
Alexandre Poulain
alexandre@aicatalogscore.com
"
"4","Lantern Sol","https://lanternsol.com","https://lanternsol.com/contact","SEO and growth, Shopify Plus partner since 2015","They are the SEO-as-growth story. We are the next chapter of SEO (AI-readable structured data).","Public case studies make it easy to reference their work specifically.","AI shopping agents are reading Lantern clients' catalogs differently","Hi [first name to find on LinkedIn],

I'm Alexandre, founder of AI Catalog Score (apps.shopify.com/ai-catalog-score). It's a Shopify app that scores how AI shopping agents (ChatGPT, Claude, Gemini, Perplexity, Mistral, DeepSeek) read product catalogs, and applies one-click fixes. The methodology is CC0 (github.com/commerce-agentic/agentic-catalog-scanner) and the underlying captures dataset is MIT-licensed at 1.2M+ rows.

Two reasons I'm reaching out specifically to Lantern Sol:

1. the documented +692% organic revenue lift case study on your site. The AI-readability angle is becoming a real channel for DTC merchants (ChatGPT shopping queries are growing fast), and your work suggests Lantern is well positioned to be early on it.

2. I'd like to discuss a partner program. We don't have one set up yet; I want to design it with 1-2 launch agencies who understand the merchant side. The shape I'm thinking is revenue share on referred installs, or a flat referral fee per closed Pro/Performance plan ($149 to $399 per month per merchant). Open to your preferred structure.

You can audit any Shopify store free in 60 seconds at:
https://aicatalogscore.com/audit

If this is interesting, a 15-minute call this week or next would be useful. If not, no worries; happy to ship you a recap of our methodology + dataset for your team's reference regardless.

Best,
Alexandre Poulain
alexandre@aicatalogscore.com
"
"5","Coalition Technologies","https://coalitiontechnologies.com","https://coalitiontechnologies.com/contact","250+ team, full design + dev + SEO under one roof, Los Angeles","They have the volume (250+ team = lots of clients). One agency partnership = potential 50+ installs.","Large agency, harder to penetrate but huge if you do. Aim for VP-level contact.","AI shopping agents are reading Coalition clients' catalogs differently","Hi [first name to find on LinkedIn],

I'm Alexandre, founder of AI Catalog Score (apps.shopify.com/ai-catalog-score). It's a Shopify app that scores how AI shopping agents (ChatGPT, Claude, Gemini, Perplexity, Mistral, DeepSeek) read product catalogs, and applies one-click fixes. The methodology is CC0 (github.com/commerce-agentic/agentic-catalog-scanner) and the underlying captures dataset is MIT-licensed at 1.2M+ rows.

Two reasons I'm reaching out specifically to Coalition Technologies:

1. your full-service SEO + dev integration approach for Shopify Plus brands. The AI-readability angle is becoming a real channel for DTC merchants (ChatGPT shopping queries are growing fast), and your work suggests Coalition is well positioned to be early on it.

2. I'd like to discuss a partner program. We don't have one set up yet; I want to design it with 1-2 launch agencies who understand the merchant side. The shape I'm thinking is revenue share on referred installs, or a flat referral fee per closed Pro/Performance plan ($149 to $399 per month per merchant). Open to your preferred structure.

You can audit any Shopify store free in 60 seconds at:
https://aicatalogscore.com/audit

If this is interesting, a 15-minute call this week or next would be useful. If not, no worries; happy to ship you a recap of our methodology + dataset for your team's reference regardless.

Best,
Alexandre Poulain
alexandre@aicatalogscore.com
"
"6","Swanky","https://swankyagency.com","https://swankyagency.com/contact","CRO for Shopify Plus, recurring revenue specialist","Subscription brands have catalog problems we audit cleanly. Pre-purchase AI discovery = their top-of-funnel.","UK + US offices. Subscription specialty narrows their ICP, which makes them easier to qualify.","AI shopping agents are reading Swanky clients' catalogs differently","Hi [first name to find on LinkedIn],

I'm Alexandre, founder of AI Catalog Score (apps.shopify.com/ai-catalog-score). It's a Shopify app that scores how AI shopping agents (ChatGPT, Claude, Gemini, Perplexity, Mistral, DeepSeek) read product catalogs, and applies one-click fixes. The methodology is CC0 (github.com/commerce-agentic/agentic-catalog-scanner) and the underlying captures dataset is MIT-licensed at 1.2M+ rows.

Two reasons I'm reaching out specifically to Swanky:

1. your work on subscription-based DTC brands and the friction-point methodology for checkout journeys. The AI-readability angle is becoming a real channel for DTC merchants (ChatGPT shopping queries are growing fast), and your work suggests Swanky is well positioned to be early on it.

2. I'd like to discuss a partner program. We don't have one set up yet; I want to design it with 1-2 launch agencies who understand the merchant side. The shape I'm thinking is revenue share on referred installs, or a flat referral fee per closed Pro/Performance plan ($149 to $399 per month per merchant). Open to your preferred structure.

You can audit any Shopify store free in 60 seconds at:
https://aicatalogscore.com/audit

If this is interesting, a 15-minute call this week or next would be useful. If not, no worries; happy to ship you a recap of our methodology + dataset for your team's reference regardless.

Best,
Alexandre Poulain
alexandre@aicatalogscore.com
"
"7","Avex Designs","https://avexdesigns.com","https://avexdesigns.com/contact","NYC, DTC fashion and beauty Shopify Plus","Apparel and beauty are our top 2 verticals by data coverage. Their clients are exactly our captures population.","NYC fashion ecosystem. Founder ariel.aronoff@avexdesigns.com (verify on site).","AI shopping agents are reading Avex clients' catalogs differently","Hi [first name to find on LinkedIn],

I'm Alexandre, founder of AI Catalog Score (apps.shopify.com/ai-catalog-score). It's a Shopify app that scores how AI shopping agents (ChatGPT, Claude, Gemini, Perplexity, Mistral, DeepSeek) read product catalogs, and applies one-click fixes. The methodology is CC0 (github.com/commerce-agentic/agentic-catalog-scanner) and the underlying captures dataset is MIT-licensed at 1.2M+ rows.

Two reasons I'm reaching out specifically to Avex Designs:

1. your specialization in apparel and beauty Shopify Plus with features like swatches and lookbook browsing. The AI-readability angle is becoming a real channel for DTC merchants (ChatGPT shopping queries are growing fast), and your work suggests Avex is well positioned to be early on it.

2. I'd like to discuss a partner program. We don't have one set up yet; I want to design it with 1-2 launch agencies who understand the merchant side. The shape I'm thinking is revenue share on referred installs, or a flat referral fee per closed Pro/Performance plan ($149 to $399 per month per merchant). Open to your preferred structure.

You can audit any Shopify store free in 60 seconds at:
https://aicatalogscore.com/audit

If this is interesting, a 15-minute call this week or next would be useful. If not, no worries; happy to ship you a recap of our methodology + dataset for your team's reference regardless.

Best,
Alexandre Poulain
alexandre@aicatalogscore.com
"
"8","We Make Websites","https://wemakewebsites.com","https://wemakewebsites.com/contact","UK, premium and fast-growing DTC Shopify Plus","High-AOV premium brands = Score Guarantee +10pts in 30 days has real revenue value for them.","UK office. Time zone overlaps your morning.","AI shopping agents are reading WMW clients' catalogs differently","Hi [first name to find on LinkedIn],

I'm Alexandre, founder of AI Catalog Score (apps.shopify.com/ai-catalog-score). It's a Shopify app that scores how AI shopping agents (ChatGPT, Claude, Gemini, Perplexity, Mistral, DeepSeek) read product catalogs, and applies one-click fixes. The methodology is CC0 (github.com/commerce-agentic/agentic-catalog-scanner) and the underlying captures dataset is MIT-licensed at 1.2M+ rows.

Two reasons I'm reaching out specifically to We Make Websites:

1. your work on premium DTC brands and the design-led Shopify approach. The AI-readability angle is becoming a real channel for DTC merchants (ChatGPT shopping queries are growing fast), and your work suggests WMW is well positioned to be early on it.

2. I'd like to discuss a partner program. We don't have one set up yet; I want to design it with 1-2 launch agencies who understand the merchant side. The shape I'm thinking is revenue share on referred installs, or a flat referral fee per closed Pro/Performance plan ($149 to $399 per month per merchant). Open to your preferred structure.

You can audit any Shopify store free in 60 seconds at:
https://aicatalogscore.com/audit

If this is interesting, a 15-minute call this week or next would be useful. If not, no worries; happy to ship you a recap of our methodology + dataset for your team's reference regardless.

Best,
Alexandre Poulain
alexandre@aicatalogscore.com
"
"9","Shero Commerce","https://sherocommerce.com","https://sherocommerce.com/contact","500+ migrations to Shopify, SEO retention post-launch","Post-migration AI audit is a natural value-add for them. Recently migrated stores need re-scoring.","Their content marketing is heavy. Find their blog editor and pitch a guest post first as warm-up.","AI shopping agents are reading Shero clients' catalogs differently","Hi [first name to find on LinkedIn],

I'm Alexandre, founder of AI Catalog Score (apps.shopify.com/ai-catalog-score). It's a Shopify app that scores how AI shopping agents (ChatGPT, Claude, Gemini, Perplexity, Mistral, DeepSeek) read product catalogs, and applies one-click fixes. The methodology is CC0 (github.com/commerce-agentic/agentic-catalog-scanner) and the underlying captures dataset is MIT-licensed at 1.2M+ rows.

Two reasons I'm reaching out specifically to Shero Commerce:

1. your 500-migration playbook and the SEO retention focus during platform moves. The AI-readability angle is becoming a real channel for DTC merchants (ChatGPT shopping queries are growing fast), and your work suggests Shero is well positioned to be early on it.

2. I'd like to discuss a partner program. We don't have one set up yet; I want to design it with 1-2 launch agencies who understand the merchant side. The shape I'm thinking is revenue share on referred installs, or a flat referral fee per closed Pro/Performance plan ($149 to $399 per month per merchant). Open to your preferred structure.

You can audit any Shopify store free in 60 seconds at:
https://aicatalogscore.com/audit

If this is interesting, a 15-minute call this week or next would be useful. If not, no worries; happy to ship you a recap of our methodology + dataset for your team's reference regardless.

Best,
Alexandre Poulain
alexandre@aicatalogscore.com
"
"10","ECommerce Partners (ECP)","https://ecommercepartners.com","https://ecommercepartners.com/contact","Los Angeles, beauty + fashion + wellness Shopify Plus","Beauty + wellness = top 3 verticals in our dataset. ROI-focus aligns with our Score Guarantee positioning.","LA-based, strong on creative; tech-savvy enough to evaluate our methodology repo.","AI shopping agents are reading ECP clients' catalogs differently","Hi [first name to find on LinkedIn],

I'm Alexandre, founder of AI Catalog Score (apps.shopify.com/ai-catalog-score). It's a Shopify app that scores how AI shopping agents (ChatGPT, Claude, Gemini, Perplexity, Mistral, DeepSeek) read product catalogs, and applies one-click fixes. The methodology is CC0 (github.com/commerce-agentic/agentic-catalog-scanner) and the underlying captures dataset is MIT-licensed at 1.2M+ rows.

Two reasons I'm reaching out specifically to ECommerce Partners (ECP):

1. your ROI-focused approach for beauty and wellness DTC and the TikTok Shop integration work. The AI-readability angle is becoming a real channel for DTC merchants (ChatGPT shopping queries are growing fast), and your work suggests ECP is well positioned to be early on it.

2. I'd like to discuss a partner program. We don't have one set up yet; I want to design it with 1-2 launch agencies who understand the merchant side. The shape I'm thinking is revenue share on referred installs, or a flat referral fee per closed Pro/Performance plan ($149 to $399 per month per merchant). Open to your preferred structure.

You can audit any Shopify store free in 60 seconds at:
https://aicatalogscore.com/audit

If this is interesting, a 15-minute call this week or next would be useful. If not, no worries; happy to ship you a recap of our methodology + dataset for your team's reference regardless.

Best,
Alexandre Poulain
alexandre@aicatalogscore.com
"
