"domain","score","top_issue","product_count","ai_mentions","audit_url","tier_target","subject_line","message_body","target_score","pitch_angle"
"burtsbeesbaby.com","76","Description only has 44 words. Too short for AI matching, aim for 150 or more.","250","1041","https://aicatalogscore.com/audit/burtsbeesbaby.com","Growth","Burt's Bees Baby's AI catalog score: 76/100","Hi there,

We benchmark how AI shopping agents (ChatGPT, Claude, Gemini, Perplexity) read Shopify catalogs. Burt's Bees Baby just scored 76/100 in our public audit. The top issue is: Description only has 44 words. Too short for AI matching, aim for 150 or more.

You're in the top quartile. The 25 points you're leaving on the table are the same three signals across the board: structured metafields, image alt text, and SEO title parity.

Full breakdown without install: https://aicatalogscore.com/audit/burtsbeesbaby.com
App Store listing: https://apps.shopify.com/ai-catalog-score

Our app rewrites the top issues with one click and lets you verify the revenue lift causally. Pricing: Free plan up to 50 SKUs to test the app on a slice of your catalog. For your 250 products the Growth plan at $49/mo is the fit.

If this is useful, hit reply and I'll walk you through the biggest two fixes for your specific catalog.

Best,
[Your name]","86","polish the last 25%"
"mattandnat.com","75","Description only has 36 words. Too short for AI matching, aim for 150 or more.","250","1081","https://aicatalogscore.com/audit/mattandnat.com","Growth","Matt & Nat's AI catalog score: 75/100","Hi there,

We benchmark how AI shopping agents (ChatGPT, Claude, Gemini, Perplexity) read Shopify catalogs. Matt & Nat just scored 75/100 in our public audit. The top issue is: Description only has 36 words. Too short for AI matching, aim for 150 or more.

You're in the top quartile. The 25 points you're leaving on the table are the same three signals across the board: structured metafields, image alt text, and SEO title parity.

Full breakdown without install: https://aicatalogscore.com/audit/mattandnat.com
App Store listing: https://apps.shopify.com/ai-catalog-score

Our app rewrites the top issues with one click and lets you verify the revenue lift causally. Pricing: Free plan up to 50 SKUs to test the app on a slice of your catalog. For your 250 products the Growth plan at $49/mo is the fit.

If this is useful, hit reply and I'll walk you through the biggest two fixes for your specific catalog.

Best,
[Your name]","85","polish the last 25%"
"rothys.com","73","Title has no factual marker (material, spec, ingredient). AI matches better with at least one.","250","1936","https://aicatalogscore.com/audit/rothys.com","Growth","Rothy's AI catalog score: 73/100","Hi there,

We benchmark how AI shopping agents (ChatGPT, Claude, Gemini, Perplexity) read Shopify catalogs. Rothy's just scored 73/100 in our public audit. The top issue is: Title has no factual marker (material, spec, ingredient). AI matches better with at least one.

You're in the top quartile. The 25 points you're leaving on the table are the same three signals across the board: structured metafields, image alt text, and SEO title parity.

Full breakdown without install: https://aicatalogscore.com/audit/rothys.com
App Store listing: https://apps.shopify.com/ai-catalog-score

Our app rewrites the top issues with one click and lets you verify the revenue lift causally. Pricing: Free plan up to 50 SKUs to test the app on a slice of your catalog. For your 250 products the Growth plan at $49/mo is the fit.

If this is useful, hit reply and I'll walk you through the biggest two fixes for your specific catalog.

Best,
[Your name]","83","polish the last 25%"
"gymshark.com","70","Title has no factual marker (material, spec, ingredient). AI matches better with at least one.","250","1314","https://aicatalogscore.com/audit/gymshark.com","Growth","Gymshark's AI catalog score: 70/100","Hi there,

We benchmark how AI shopping agents (ChatGPT, Claude, Gemini, Perplexity) read Shopify catalogs. Gymshark just scored 70/100 in our public audit. The top issue is: Title has no factual marker (material, spec, ingredient). AI matches better with at least one.

You're in the top quartile. The 25 points you're leaving on the table are the same three signals across the board: structured metafields, image alt text, and SEO title parity.

Full breakdown without install: https://aicatalogscore.com/audit/gymshark.com
App Store listing: https://apps.shopify.com/ai-catalog-score

Our app rewrites the top issues with one click and lets you verify the revenue lift causally. Pricing: Free plan up to 50 SKUs to test the app on a slice of your catalog. For your 250 products the Growth plan at $49/mo is the fit.

If this is useful, hit reply and I'll walk you through the biggest two fixes for your specific catalog.

Best,
[Your name]","80","polish the last 25%"
"decathlon.com","69","Description only has 57 words. Too short for AI matching, aim for 150 or more.","250","2642","https://aicatalogscore.com/audit/decathlon.com","Growth","Decathlon's AI catalog score: 69/100","Hi there,

We benchmark how AI shopping agents (ChatGPT, Claude, Gemini, Perplexity) read Shopify catalogs. Decathlon just scored 69/100 in our public audit. The top issue is: Description only has 57 words. Too short for AI matching, aim for 150 or more.

You're in the middle of the pack. The two biggest jumps in our rubric are adding 3 vertical-relevant metafields per product (worth 12 points) and rewriting descriptions with bulleted spec lists (worth 8 points).

Full breakdown without install: https://aicatalogscore.com/audit/decathlon.com
App Store listing: https://apps.shopify.com/ai-catalog-score

Our app rewrites the top issues with one click and lets you verify the revenue lift causally. Pricing: Free plan up to 50 SKUs to test the app on a slice of your catalog. For your 250 products the Growth plan at $49/mo is the fit.

If this is useful, hit reply and I'll walk you through the biggest two fixes for your specific catalog.

Best,
[Your name]","79","two big jumps available"
"colehaan.com","68","Product type ""Test"" is missing from the title. AI agents use it for category matching.","250","975","https://aicatalogscore.com/audit/colehaan.com","Growth","Colehaan's AI catalog score: 68/100","Hi there,

We benchmark how AI shopping agents (ChatGPT, Claude, Gemini, Perplexity) read Shopify catalogs. Colehaan just scored 68/100 in our public audit. The top issue is: Product type ""Test"" is missing from the title. AI agents use it for category matching.

You're in the middle of the pack. The two biggest jumps in our rubric are adding 3 vertical-relevant metafields per product (worth 12 points) and rewriting descriptions with bulleted spec lists (worth 8 points).

Full breakdown without install: https://aicatalogscore.com/audit/colehaan.com
App Store listing: https://apps.shopify.com/ai-catalog-score

Our app rewrites the top issues with one click and lets you verify the revenue lift causally. Pricing: Free plan up to 50 SKUs to test the app on a slice of your catalog. For your 250 products the Growth plan at $49/mo is the fit.

If this is useful, hit reply and I'll walk you through the biggest two fixes for your specific catalog.

Best,
[Your name]","78","two big jumps available"
"outdoorresearch.com","67","No bullet list in the description. AI agents parse structured lists much more reliably than prose.","250","3991","https://aicatalogscore.com/audit/outdoorresearch.com","Growth","Outdoorresearch's AI catalog score: 67/100","Hi there,

We benchmark how AI shopping agents (ChatGPT, Claude, Gemini, Perplexity) read Shopify catalogs. Outdoorresearch just scored 67/100 in our public audit. The top issue is: No bullet list in the description. AI agents parse structured lists much more reliably than prose.

You're in the middle of the pack. The two biggest jumps in our rubric are adding 3 vertical-relevant metafields per product (worth 12 points) and rewriting descriptions with bulleted spec lists (worth 8 points).

Full breakdown without install: https://aicatalogscore.com/audit/outdoorresearch.com
App Store listing: https://apps.shopify.com/ai-catalog-score

Our app rewrites the top issues with one click and lets you verify the revenue lift causally. Pricing: Free plan up to 50 SKUs to test the app on a slice of your catalog. For your 250 products the Growth plan at $49/mo is the fit.

If this is useful, hit reply and I'll walk you through the biggest two fixes for your specific catalog.

Best,
[Your name]","77","two big jumps available"
"packagefreeshop.com","67","Title has no factual marker (material, spec, ingredient). AI matches better with at least one.","116","967","https://aicatalogscore.com/audit/packagefreeshop.com","Growth","Packagefreeshop's AI catalog score: 67/100","Hi there,

We benchmark how AI shopping agents (ChatGPT, Claude, Gemini, Perplexity) read Shopify catalogs. Packagefreeshop just scored 67/100 in our public audit. The top issue is: Title has no factual marker (material, spec, ingredient). AI matches better with at least one.

You're in the middle of the pack. The two biggest jumps in our rubric are adding 3 vertical-relevant metafields per product (worth 12 points) and rewriting descriptions with bulleted spec lists (worth 8 points).

Full breakdown without install: https://aicatalogscore.com/audit/packagefreeshop.com
App Store listing: https://apps.shopify.com/ai-catalog-score

Our app rewrites the top issues with one click and lets you verify the revenue lift causally. Pricing: Free plan up to 50 SKUs to test the app on a slice of your catalog. For your 116 products the Growth plan at $49/mo is the fit.

If this is useful, hit reply and I'll walk you through the biggest two fixes for your specific catalog.

Best,
[Your name]","77","two big jumps available"
"toms.com","66","No product_type field. AI agents use it for taxonomy mapping.","250","1468","https://aicatalogscore.com/audit/toms.com","Growth","Toms' AI catalog score: 66/100","Hi there,

We benchmark how AI shopping agents (ChatGPT, Claude, Gemini, Perplexity) read Shopify catalogs. Toms just scored 66/100 in our public audit. The top issue is: No product_type field. AI agents use it for taxonomy mapping.

You're in the middle of the pack. The two biggest jumps in our rubric are adding 3 vertical-relevant metafields per product (worth 12 points) and rewriting descriptions with bulleted spec lists (worth 8 points).

Full breakdown without install: https://aicatalogscore.com/audit/toms.com
App Store listing: https://apps.shopify.com/ai-catalog-score

Our app rewrites the top issues with one click and lets you verify the revenue lift causally. Pricing: Free plan up to 50 SKUs to test the app on a slice of your catalog. For your 250 products the Growth plan at $49/mo is the fit.

If this is useful, hit reply and I'll walk you through the biggest two fixes for your specific catalog.

Best,
[Your name]","76","two big jumps available"
"boody.com","66","Title has no factual marker (material, spec, ingredient). AI matches better with at least one.","250","1421","https://aicatalogscore.com/audit/boody.com","Growth","Boody's AI catalog score: 66/100","Hi there,

We benchmark how AI shopping agents (ChatGPT, Claude, Gemini, Perplexity) read Shopify catalogs. Boody just scored 66/100 in our public audit. The top issue is: Title has no factual marker (material, spec, ingredient). AI matches better with at least one.

You're in the middle of the pack. The two biggest jumps in our rubric are adding 3 vertical-relevant metafields per product (worth 12 points) and rewriting descriptions with bulleted spec lists (worth 8 points).

Full breakdown without install: https://aicatalogscore.com/audit/boody.com
App Store listing: https://apps.shopify.com/ai-catalog-score

Our app rewrites the top issues with one click and lets you verify the revenue lift causally. Pricing: Free plan up to 50 SKUs to test the app on a slice of your catalog. For your 250 products the Growth plan at $49/mo is the fit.

If this is useful, hit reply and I'll walk you through the biggest two fixes for your specific catalog.

Best,
[Your name]","76","two big jumps available"
